Frame,LMV Count,HMV Count
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,2,1
8,0,2
9,0,2
10,0,1
11,0,1
12,2,2
13,2,0
14,1,1
15,1,1
16,0,2
17,1,1
18,1,2
19,1,2
20,1,2
21,2,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,3
27,1,3
28,1,3
29,1,3
30,1,3
31,1,2
32,1,2
33,2,1
34,2,1
35,1,1
36,2,1
37,2,1
38,1,1
39,2,1
40,0,2
41,1,2
42,1,2
43,1,2
44,1,2
45,1,1
46,1,2
47,1,2
48,1,3
49,2,1
50,1,1
51,1,2
52,1,1
53,0,2
54,1,2
55,1,2
56,1,2
57,1,2
58,1,2
59,1,2
60,1,2
61,1,2
62,0,2
63,0,2
64,0,2
65,1,1
66,0,1
67,2,1
68,2,1
69,2,2
70,1,1
71,0,1
72,0,2
73,0,2
74,0,2
75,0,2
76,0,3
77,0,3
78,0,3
79,0,2
80,0,2
81,0,2
82,0,1
83,0,1
84,0,1
85,0,2
86,0,1
87,0,1
88,0,1
89,0,2
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,0,0
104,0,0
105,0,1
106,0,1
107,0,0
108,0,0
109,0,0
110,0,0
111,0,1
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,1
123,0,1
124,0,0
125,1,0
126,1,0
127,1,0
128,1,1
129,1,1
130,2,1
131,2,1
132,1,1
133,1,1
134,2,1
135,1,1
136,1,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,1,1
144,1,1
145,2,0
146,2,0
147,2,1
148,2,1
149,3,1
150,2,0
151,2,0
152,2,1
153,2,1
154,2,1
155,2,1
156,1,1
157,0,0
158,1,1
159,1,1
160,1,2
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,0,1
178,1,1
179,0,1
180,0,1
181,0,2
182,0,2
183,0,2
184,0,2
185,0,1
186,1,1
187,0,2
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,0,1
196,1,1
197,1,1
198,1,1
199,0,1
200,0,1
201,0,1
202,2,1
203,2,1
204,2,1
205,2,1
206,0,1
207,0,1
208,1,1
209,0,1
210,1,1
211,0,1
212,2,1
213,2,1
214,2,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,2,1
227,0,1
228,1,1
229,1,1
230,1,1
231,1,2
232,2,1
233,2,1
234,2,1
235,1,1
236,2,0
237,1,1
238,2,1
239,2,0
240,2,0
241,1,1
242,0,2
243,1,1
244,0,0
245,0,1
246,0,2
247,1,1
248,2,1
249,2,1
250,2,1
251,2,2
252,1,2
253,1,2
254,1,1
255,1,2
256,1,3
257,1,2
258,1,2
259,1,2
260,2,1
261,2,2
262,1,1
263,1,1
264,2,1
265,1,1
266,1,1
267,0,2
268,0,3
269,0,2
270,0,2
271,1,1
272,0,2
273,1,2
274,0,2
275,1,2
276,1,2
277,2,1
278,2,2
279,2,2
280,2,2
281,0,1
282,0,2
283,1,2
284,1,2
285,1,2
286,1,2
287,1,2
288,1,2
289,1,2
290,1,2
291,1,2
292,1,2
293,1,2
294,1,1
295,1,2
296,1,1
297,1,2
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,2,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,2,1
321,1,1
322,1,1
323,1,1
324,1,2
325,2,2
326,2,2
327,2,2
328,2,2
329,1,2
330,1,2
331,1,2
332,1,2
333,2,2
334,2,2
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,2,1
343,1,0
344,1,2
345,1,1
346,2,1
347,1,2
348,1,2
349,1,2
350,1,2
351,2,1
352,2,1
353,2,1
354,2,0
355,2,1
356,2,1
357,2,1
358,2,1
359,2,1
360,2,1
361,2,1
362,2,1
363,2,1
364,1,1
365,2,1
366,2,1
367,2,1
368,2,1
369,2,0
370,2,0
371,2,0
372,1,0
373,2,0
374,2,0
375,2,0
376,2,0
377,1,0
378,1,0
379,1,0
380,1,1
381,1,1
382,2,1
383,1,1
384,2,1
385,2,0
386,2,1
387,3,1
388,3,1
389,3,0
390,3,0
391,3,0
392,3,0
393,3,0
394,4,1
395,3,1
396,4,1
397,3,0
398,3,0
399,3,0
400,3,0
401,3,0
402,3,0
403,3,0
404,3,0
405,2,0
406,2,0
407,2,0
408,2,0
409,2,0
410,2,0
411,1,0
412,1,0
413,1,0
414,1,1
415,2,0
416,2,0
417,1,0
418,1,0
419,2,0
420,1,0
421,1,0
422,1,0
423,1,1
424,1,0
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,2,0
433,1,0
434,2,0
435,1,1
436,2,0
437,2,0
438,1,1
439,1,0
440,0,0
441,0,0
442,1,0
443,1,1
444,1,1
445,0,1
446,0,1
447,0,1
448,0,1
449,0,1
450,0,1
451,0,1
452,0,1
453,0,1
454,0,1
455,0,1
456,0,0
457,2,0
458,1,1
459,0,1
460,0,1
461,0,1
462,0,1
463,0,1
464,0,1
465,0,1
466,0,1
467,0,1
468,0,1
469,1,1
470,1,1
471,1,1
472,2,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,0,2
484,1,1
485,2,1
486,2,2
487,1,0
488,1,2
489,1,2
490,1,2
491,2,2
492,1,1
493,1,0
494,1,0
495,1,0
496,2,0
497,2,0
498,1,0
499,1,0
500,1,0
501,1,1
502,1,1
503,1,1
504,1,1
505,2,0
506,2,0
507,1,0
508,1,0
509,1,0
510,1,0
511,1,0
512,1,0
513,1,0
514,1,0
515,1,0
516,1,0
517,1,0
518,1,0
519,1,0
520,1,0
521,1,0
522,1,0
523,1,0
524,1,0
525,1,0
526,1,0
527,1,0
528,1,0
529,1,0
530,1,0
531,1,0
532,1,0
533,1,0
534,1,0
535,1,0
536,1,0
537,1,0
538,1,0
539,1,0
540,1,0
541,1,0
542,1,0
543,1,0
544,1,0
545,1,0
546,1,0
547,1,0
548,1,0
549,1,0
550,1,0
551,1,0
552,1,0
553,1,0
554,1,0
555,1,0
556,1,0
557,1,0
558,1,0
559,1,0
560,1,0
561,1,0
562,1,0
563,1,0
564,1,0
565,1,0
566,0,1
567,0,0
568,1,0
569,1,0
570,1,0
571,1,0
572,1,0
573,1,0
574,0,0
575,1,0
576,1,0
577,1,0
578,0,0
579,0,0
580,1,0
581,0,0
582,1,1
583,1,0
584,1,0
585,1,0
586,1,0
587,1,0
588,1,0
589,1,0
590,1,0
591,1,0
592,1,0
593,1,0
594,1,0
595,1,0
596,1,0
597,1,0
598,1,0
599,2,0
600,1,0
601,1,0
602,1,0
603,1,0
604,1,0
605,1,0
606,1,0
607,1,0
608,1,0
609,1,0
610,1,0
611,1,0
612,1,0
613,1,0
614,1,0
